area,item_code,target2_code,addr2,lng,addr1,open_info,target2_etc,type,close_info,zipcode,img_name,name,target1_code,target1_etc,idx,item_etc,lat,제공대상,제공인원,제공품목
서울,99,,"1층 (논현동, 두원빌딩) 더 수제비",127.0327484,서울 강남구 논현로132길 29,"11시~8시 (평일),  11시~6시 (토)",,1,일요일,6053,c5ab989ad40d4f7ba804b68ae7449d3a.jpg,삼청골명가 더수제비 ,2,,348,"수제비, 들깨수제비,들깨감자옹심이,감",37.51555641,Nan,동반 1인,"수제비, 들깨수제비,들깨감자옹심이,감"
서울,2,"01,02",지하 1층,127.0593834,서울 강남구 대치동 1016-4,오후1시 - 오후 10시,,2,일요일 휴무,6279,7f956996ed404dd888f5102b267fe245.jpg,87.5 탭댄스 컴퍼니,2,,393,,37.49751412,"결식아동,독거노인",동반 1인,
서울,,,남자빌딩3층,127.0410676,서울 강남구 도곡로 203,,,3,,6231,NULL,피트니스플랜비,,,748,,37.49277901,Nan,Nan,
서울,2,1,아가도스빌딩 1층 바바에스 대치점,127.0595582,서울 강남구 도곡로 449,10:00 ~21:00,,3,,6209,NULL,바바에스안경원(대치점),1,,729,,37.49883014,결식아동,아이 본인만,
서울,99,"01,02",,127.040892,서울 강남구 선릉로111길 33,9~19,,2,없음,6103,afb257251b1244c4ae21e3a8b2272213.jpeg,한국전문연주자협회,3,,872,티켓,37.51007091,"결식아동,독거노인",동반 2인,티켓
서울,1,"01,02",101,127.0439124,서울 강남구 언주로69길 16,10~21,,1,연중무휴,6226,dc68812e49754702b668c0b61171173c.jpg,우리카페,2,,454,,37.49642535,"결식아동,독거노인",동반 1인,
서울,,,3층,127.0348978,서울 강남구 테헤란로 143,,,99,,6132,NULL,메이머스트,,,925,,37.50061921,Nan,Nan,
서울,99,,다른타워 8층 법률사무소 서화담,127.0396507,서울 강남구 학동로 335,09시 ~ 18시,,99,"토요일, 일요일, 관공서 공휴일 등",6060,NULL,법률사무소 서화담,1,,64,급식카드소지학생대상법률서비스,37.51698816,Nan,아이 본인만,급식카드소지학생대상법률서비스
서울,99,"01,02,99",102-2호 통닭&강동생족발보쌈,127.1687802,서울 강동구 고덕로 390,점심12시~밤12시,소방관은 전메뉴 50%할인,1,"연중무휴 , 포장 배달 전문점",5274,cf423ae9061341bdad4f5031b168a4d4.jpg,통닭&강동생족발보쌈,99,포장 배달 전문점입니다.,624,아동=통닭1마리무료&전메뉴50%할인,37.55662641,"결식아동,독거노인,소방관은 전메뉴 50%할인",포장 배달 전문점입니다.,아동=통닭1마리무료&전메뉴50%할인
서울,99,1,203호,127.1637038,서울 강동구 동남로82길 120,20-Oct,,3,공휴일 일요일,5224,bc173fd2a34149a3850d85a3ca8dbc70.jpeg,벨라로그,1,,833,주니어컷,37.5600131,결식아동,아이 본인만,주니어컷
