area,item_code,target2_code,addr2,lng,addr1,open_info,target2_etc,type,close_info,zipcode,img_name,name,target1_code,target1_etc,idx,item_etc,lat,제공대상,제공인원,제공품목
전남,99,1,1층 113호 동글 휴대폰매장,126.7868621,전남 나주시 월정1길 10,11시~20시,,99,"공휴일, 일요일",58328,NULL,동글,1,,953,"휴대폰케이스, 필름, 충전기",35.01273677,결식아동,아이 본인만,"휴대폰케이스, 필름, 충전기"
전남,2,"01,02",110호,126.4649573,전남 무안군 삼향읍 남악3로82번가길 45,,,1,,58567,ec1b6b4e0c3d4a3696ba1ba070c2c6fe.jpg,낭만 꽃 한 송이,2,,1020,,34.81400785,"결식아동,독거노인",동반 1인,
전남,1,"01,02",삼대떡볶이 남악점,126.4725694,전남 무안군 삼향읍 남악리 1650,낮12시 ~ 밤 9시,,1,,58568,9b20ea7586c3482f83e2212b375f896f.jpg,삼대떡볶이 남악점,3,,854,,34.81113985,"결식아동,독거노인",동반 2인,
전남,1,"01,02",2층 롤링파스타,126.4617417,전남 무안군 삼향읍 대죽서로 29,11:00-22:00,,1,15:00-17:00,58567,d4733a2acf1147d590e9233efe512ce8.jpeg,롤링파스타 무안 전남도청점,3,,1050,,34.81138773,"결식아동,독거노인",동반 2인,
전남,99,2,,126.4963243,전남 무안군 일로읍 인의로 645,월-금 10-5시,,1,12-1시,58574,NULL,그랜마펌킨,2,,541,그랜마펌킨 호박즙,34.84783557,독거노인,동반 1인,그랜마펌킨 호박즙
전남,,"01,99",4층,127.4839153,전남 순천시 가곡1길 7,,14세~20세 청소년,99,,57923,NULL,나디하타요가,1,,363,,34.97968117,"결식아동,14세~20세 청소년",아이 본인만,
전남,1,"01,02",2층 파운트리,127.5198966,전남 순천시 비봉길 88,10:00~20:00,,1,일요일,57934,9f9f75ed5b8247b8a650e157241fbf54.jpg,파운트리,1,,565,,34.96561134,"결식아동,독거노인",아이 본인만,
전남,2,1,초록마을오천점,127.4949545,전남 순천시 오천6길 54-1,10~21,,1,명절휴무,57999,NULL,초록마을오천점,2,,425,,34.93524209,결식아동,동반 1인,
전남,2,1,현대1차 상가 현대마트사과나무,127.5302729,전남 순천시 왕궁길 65,09:00~23:00,,99,일요일 오전,57970,37b88e4141e44e27870930f9befe1306.jpg,현대마트사과나무,1,,390,,34.95728869,결식아동,아이 본인만,
전남,99,,,127.4901322,전남 순천시 용당둑길 153,11시-18시,,1,,57943,NULL,베니샤프본점 ,2,,578,모든음료+케이크한조각,34.95842827,Nan,동반 1인,모든음료+케이크한조각
전남,99,1,순천 케이글라스안경 ,127.5264897,전남 순천시 조례못등길 18,어전 10시 부터 오후 9시까지,,99,일요일  휴무입니다,57968,b3c511320f6343e8a106682025ee3d23.jpg,순천 케이글라스안경 ,1,,757,시력교정용 안경,34.95400909,결식아동,아이 본인만,시력교정용 안경
전남,1,1,1층 이디야 순천대 정문점,127.4840807,전남 순천시 중앙로 270,09:00  ~ 22:00,,1,무,57938,3fabe6739d514e329283ac432dac09c8.jpg,이디야 순천대 정문점,2,,299,,34.96984632,결식아동,동반 1인,
전남,99,"01,99",2층 마스터짐,127.48268,전남 순천시 중앙로 310,07:00~22:00,어려움이 있는 모든 아이,99,"일요일, 공휴일",57923,639e94b516b64f5e9dd92298eccdb17d.png,마스터짐,1,,879,"헬스,킥복싱,엘리트선수트레이닝",34.97329281,"결식아동,어려움이 있는 모든 아이",아이 본인만,"헬스,킥복싱,엘리트선수트레이닝"
전남,1,99,메가박스 1층 126호 소율의캘리그라,127.5108563,전남 순천시 충효로 15,오전10~오후8시,저소득자녀중 배우고싶어하는아이,2,일요일,57964,ed174ca6138d4d2dae90fdc26a4aaed2.jpg,소율의캘리그라피 ,1,,200,,34.94124697,저소득자녀중 배우고싶어하는아이,아이 본인만,
전남,1,"01,02",제주거멍돗,127.4867335,전남 순천시 환선로 145,17:00~22:00,,1,"첫째,셋째 화요일",57938,28cf2c6257814b708a715d70383aa23b.jpg,제주거멍돗,3,,387,,34.96828751,"결식아동,독거노인",동반 2인,
전남,1,"01,02",상가 A103호 식사준비,127.7443728,전남 여수시 덕충안길 84,am10:00~pm8:00,,99,매주 일요일 휴무,59723,9b7117f1f8d447ccbae165502eefd6bf.jpeg,식사준비 여수엑스포점,1,,1043,,34.75355125,"결식아동,독거노인",아이 본인만,
전남,99,1,1층 하늘아쿠아,127.6950729,전남 여수시 문수7길 9-5,오후1시~오후7시,,99,,59703,NULL,하늘아쿠아,1,,732,"열대어, 사료",34.75526584,결식아동,아이 본인만,"열대어, 사료"
전남,1,"01,02",1층 만물상회,127.669923,전남 여수시 신기남2길 24,11:30~20:00,,1,15:00~17:00 홀 브레이크 / 매주 일요일 휴무,59687,b4d7ccb1f590402bb48dab0297d3d635.jpeg,만물상회,2,,893,,34.7601944,"결식아동,독거노인",동반 1인,
전남,1,1,1층,127.7490262,전남 여수시 이순신광장로 266,11:00~22:00,,1,.,59745,2ba3035650e943eb843ec0c98b60d8e4.jpg,피자알볼로 여수엑스포점,1,,403,,34.74324358,결식아동,아이 본인만,
전남,99,1,73,126.9059986,전남 장흥군 장흥읍 중앙로 73,"평일 9시~7시,토요일 5시까지",,99,"일요일,공휴일 휴무",59328,5a1423e0ed574140a4ad7b5b41e4ff74.jpg,미래컴퓨터,2,,843,컴퓨터 프로그램 수리비 무료,34.68229697,결식아동,동반 1인,컴퓨터 프로그램 수리비 무료
전남,99,1,3층,126.9927903,전남 화순군 화순읍 대교로 123,14시~21시30분,,2,법정공휴일,58115,859602dcfaec451cb57b56f440b16994.jpg,제3교실학원,1,,186,리드인독서,35.06351947,결식아동,아이 본인만,리드인독서
전북,2,1,언니네 찬,126.7013851,전북 군산시 나운4길 29-4,11시~7시,,99,일요일 공휴일,54139,8e182d5cfdee48c4ae75e4ae4b81006d.jpg,언니네 찬,1,,883,,35.96434208,결식아동,아이 본인만,
전북,2,1,2층 ,126.7141222,전북 군산시 동령길 12,오전 10~오후 5시,,1,"공휴일,토요일,일요일",54026,1a100c5dddcc41059f8e3535feccc895.jpg,soondubu,1,,252,,35.98676741,결식아동,아이 본인만,
전북,99,"01,02",1층 시온사진관,126.7453815,전북 군산시 백릉로 174,(월 ~ 토) 10:00 ~ 19:00,,3,"일요일, 공휴일",54074,2fe4b8853ba84f46a021be5bcbb25213.png,시온사진관,1,,48,,35.97549409,"결식아동,독거노인",아이 본인만,
전북,99,1,군산미장원,126.7065606,전북 군산시 서수송안2길 26,am10:00~pm20:00,,99,매주화요일 일요일12시오픈,54137,NULL,군산미장원,1,,651,남성컷,35.96556602,결식아동,아이 본인만,남성컷
전북,2,"01,02,99",1층 마주봄펫,126.7194765,전북 군산시 수송동로 15,11:00 ~ 19:00 예약제로 운영되어 변동가능,"기초생활수급자, 유기견입양자",99,일월휴무 예약제로 운영되어 변동가능,54100,5c0c6f96d7cb4ce4827b48e84765fa3c.jpeg,마주봄펫,99,제공대상 가정의 반려견,837,,35.96101295,"결식아동,독거노인,기초생활수급자, 유기견입양자",제공대상 가정의 반려견,
전북,99,1,2층 미스터피자,126.9002032,전북 김제시 도작로 104,11:30~20:30,,1,14:00~17:00,54376,436b27a7ebd64c8ab12efad24b456434.jpg,미스터피자,1,,247,피자뷔페,35.80384968,결식아동,아이 본인만,피자뷔페
전북,1,1,명진상가106호,127.161326,전북 완주군 봉동읍 봉동동서로 76,10시30분~6시30분,,1,일요일,55328,262d280e4e9e436bbdbc8044942d3bec.jpg,간식열차,2,,499,,35.93581857,결식아동,동반 1인,
전북,99,"01,99",1,127.0529857,전북 완주군 삼례읍 삼례역로 192-24,24시간,노인,3,무휴,55337,374d08e2a0bc45dfb1438a4b49d91deb.jpg,소유,99,집수리 밎 경미한공산  단열 난방,739,집수리 및  단열 난방공사,35.90644194,"결식아동,노인",집수리 밎 경미한공산  단열 난방,집수리 및  단열 난방공사
전북,1,1,101호,127.0572425,전북 완주군 이서면 오공로 11-10,16:00~01:00,,1,,55365,f64bd7a1cd6b421bb1372f415864c810.jpg,가마꿉혁신점,3,,297,,35.83650663,결식아동,동반 2인,
전북,99,1,새맛뜰,126.9733126,전북 익산시 고봉로34길 20,오전11시30분 오후8시30분,,1,매주일요일휴무,54545,756f222db7f242ef9cff18992a1bb2d5.jpg,새맛뜰,2,,135,갈비탕,35.96002329,결식아동,동반 1인,갈비탕
전북,99,1,1층 파양파군 두마리치킨,126.9429124,전북 익산시 고현로 74,화~금 : 낮12시~밤10시/주말 : 낮11시~밤10시,,1,매주 월요일 휴무,54661,118928f9385a4a4b8142177874fd7420.jpg,파양파군 두마리치킨,1,,487,순살치킨 한마리 (맛선택가능),35.94366517,결식아동,아이 본인만,순살치킨 한마리 (맛선택가능)
전북,2,1,상가 온정성담아,126.9874358,전북 익산시 무왕로22길 41,09:30-19:30,,1,매주일요일 휴무,54566,NULL,ON정성담아,1,,511,,35.95573336,결식아동,아이 본인만,
전북,2,1,상가 103호 우미분식,126.9874358,전북 익산시 무왕로22길 41,12:00-19:00,,1,토요일 일요일 휴무,54566,NULL,우미분식,1,,649,,35.95573336,결식아동,아이 본인만,
전북,99,1,1층 모로롱,126.9436772,전북 익산시 선화로13길 49,08:00am ~ 07:00pm,,1,미정,54655,94b17960233d4a1aa307594e1da9af92.jpg,모로롱,1,,1005,원하는 음료 1잔 + 쿠키 1개,35.9523699,결식아동,아이 본인만,원하는 음료 1잔 + 쿠키 1개
전북,99,"01,02",카페 테리어,126.9474531,전북 익산시 황등면 황등중앙로 21,11:00~21:00,,1,,54533,1875f263d684402d9729cf7ef654f7ed.png,테리어,99,본인,99,1인 1음료,35.99598655,"결식아동,독거노인",본인,1인 1음료
전북,99,1,만두가,127.1557682,전북 전주시 덕진구 견훤로 301,오전 10시~  오후10시,,1,일요일,54920,9640e7679e1a4a4586ed3c117a371ef8.jpg,강경원달인 만두가,2,,414,먹고 싶은 메뉴 2가지,35.8383006,결식아동,동반 1인,먹고 싶은 메뉴 2가지
전북,99,"01,02",쏘울메이드,127.115037,전북 전주시 덕진구 두간11길 17,10시~19시,,3,"일요일,화요일",54830,d4a32d01862c4676ae3e0d064c1ae143.jpg,쏘울메이드헤어샾,1,,245,컷트,35.86381597,"결식아동,독거노인",아이 본인만,컷트
전북,1,1,1층. 모두랑떡볶이 ,127.1264326,전북 전주시 덕진구 명륜4길 21-6,오전 10시~ 오후 21시까지,,1,없음,54898,fcae4aa547b94771b05a9f19bcffe3dd.jpg,모두랑떡볶이,2,,515,,35.84420204,결식아동,동반 1인,
전북,1,"01,02",1층 커피니,127.1593978,전북 전주시 덕진구 백제대로 835,10:00~24:00,,1,없습니다,54908,66bd47a4e12941be865663385b28c800.jpg,커피니(전주역점),1,,920,,35.84927539,"결식아동,독거노인",아이 본인만,
전북,2,1,2층,127.1562329,전북 전주시 덕진구 인후동1가 765-23,14-20,,2,,54913,9f3d816c38f54751b1a2f33d99afe2d5.jpg,하이탑영어수학전문학원,1,,1041,,35.83850521,결식아동,아이 본인만,
전북,99,1,1층 103호 채선당도시락 전주송천점,127.1277561,전북 전주시 덕진구 천마산로 54,오전10시~오후8시,,1,,54823,8d33882913fa4032a238d8a748f0bd7a.jpg,채선당도시락&샐러드 전주송천점,1,,711,'정식도시락' 메뉴 중 택1,35.86411387,결식아동,아이 본인만,'정식도시락' 메뉴 중 택1
전북,2,"02,99",1층 101호 백구댁,127.1572297,전북 전주시 완산구 관선5길 8,오후1:00 오후 6:00,미혼모,99,토요일일요일,55033,NULL,백구댁,2,,743,,35.82242042,"독거노인,미혼모",동반 1인,
전북,99,1,세컨페이스 안경원,127.1170206,전북 전주시 완산구 용머리로 62,09:00-20:30,,99,연중무휴,55081,2108a5e45f9d4ac88f9ed5f472bad6e3.jpg,세컨페이스안경 전주점,1,,831,학생안경.안경렌즈,35.80633056,결식아동,아이 본인만,학생안경.안경렌즈
